LGA,region_id,yr1999_pop,yr2000_pop,yr2001_pop,yr2002_pop,yr2003_pop,yr2004_pop,yr2005_pop,yr2006_pop,yr2007_pop,yr2008_pop,yr2009_pop,yr2010_pop,yr2011_pop,yr2012_pop,yr2013_pop,yr2014_pop,yr2015_pop
Edward River (A),LGA12730,10092,9995,10156,10138,10079,9989,9944,9913,9365,9239,9164,9010,8902,8908,8916,8943,8987
Eurobodalla (A),LGA12750,32346,33191,33946,34592,35267,35846,36260,36613,36635,36763,36733,36847,36993,37163,37303,37537,37805
Fairfield (C),LGA12850,187881,188337,189034,188711,188329,187515,187911,188074,188563,190979,193600,195298,196622,198350,200499,202408,204277
Federation (A),LGA12870,15670,15786,15794,15750,15754,15718,15799,16037,15867,15791,15767,15690,15564,15596,15598,15613,15582
Forbes (A),LGA12900,10181,10159,10143,10145,10091,9958,9979,10003,9728,9612,9574,9477,9471,9530,9608,9698,9750
Georges River (A),LGA12930,122642,124241,126551,127833,128914,130428,131975,133359,133165,135262,137739,139800,141507,144203,146718,149117,151403
Gilgandra (A),LGA12950,4878,4833,4799,4773,4736,4675,4656,4699,4609,4538,4572,4574,4534,4468,4434,4392,4354
Glen Innes Severn (A),LGA13010,8975,8910,8889,8853,8811,8756,8739,8783,9059,9048,9044,9021,8965,8910,8915,8930,8939
Goulburn Mulwaree (A),LGA13310,26158,26461,26641,26799,26900,26974,27111,27308,27157,27509,27878,28128,28285,28718,29153,29438,29749
Greater Hume Shire (A),LGA13340,10690,10568,10492,10470,10433,10479,10502,10585,10127,10108,10097,10087,10039,10162,10219,10319,10440
Griffith (C),LGA13450,23400,24036,24604,24709,24758,24870,25133,25441,24907,25107,25259,25265,25292,25638,25739,25998,26245
Gundagai (A),LGA13510,11408,11450,11487,11453,11375,11341,11389,11419,11327,11245,11327,11278,11254,11315,11315,11309,11307
Gunnedah (A),LGA13550,12532,12444,12405,12328,12209,12108,12065,12129,12086,12101,12250,12373,12515,12531,12510,12511,12504
Gwydir (A),LGA13660,5772,5768,5760,5700,5634,5563,5526,5536,5285,5168,5147,5141,5074,5174,5220,5253,5306
Hawkesbury (C),LGA13800,61502,62248,62814,63294,63655,63499,63440,63732,62458,63041,63499,63857,64234,64651,65082,65420,65773
Hay (A),LGA13850,3682,3609,3599,3602,3577,3543,3531,3520,3421,3317,3236,3169,3097,3028,3013,3002,2989
Hilltops (A),LGA13910,18059,18161,18165,18119,18143,18175,18280,18430,18446,18457,18521,18616,18663,18831,18825,18839,18844
Hornsby (A),LGA14000,130659,131560,132468,133382,134302,135229,136162,136162,137694,139436,141117,142549,143273,143862,144620,145524,146485
Hunters Hill (A),LGA14100,13164,13311,13382,13543,13682,13889,13917,13912,13811,13765,13865,13884,13880,14073,14240,14425,14538
Inner West (A),LGA14170,167404,167368,167720,167512,167313,167278,167501,168446,171318,173721,176317,178759,180823,182278,184704,187135,189540
Inverell (A),LGA14200,15491,15596,15754,15812,15768,15705,15798,15949,16212,16305,16486,16539,16614,16612,16619,16667,16717
Junee (A),LGA14300,5907,5931,5905,5914,5887,5883,5917,6009,6002,6021,6103,6092,6091,6147,6234,6316,6379
Kempsey (A),LGA14350,27025,27090,27374,27594,27831,28070,28605,28763,28652,28834,29072,29076,29188,29239,29303,29384,29420
Kiama (A),LGA14400,19205,19706,19959,20120,20240,20170,20248,20382,20124,20217,20433,20620,20832,20998,21243,21587,21855
Ku-ring-gai (A),LGA14500,106099,106626,107655,108212,108684,108702,108264,108395,105944,108054,110441,112671,114704,116498,118487,120314,121947
Kyogle (A),LGA14550,9894,9828,9817,9770,9666,9613,9622,9642,9631,9591,9597,9572,9537,9411,9332,9269,9170
Lachlan (A),LGA14600,7183,7132,7080,7029,6979,6928,6879,6829,6753,6753,6751,6723,6758,6653,6586,6533,6452
Lake Macquarie (C),LGA14650,183149,185385,187803,188540,189017,189048,189287,189596,192161,193545,194869,195283,195909,197866,199224,200690,201811
Lane Cove (A),LGA14700,31614,31760,32086,32111,32248,32291,32286,32375,31808,31864,32262,32758,33197,33762,34315,35286,36524
Leeton (A),LGA14750,11436,11680,11925,11978,12009,12019,12017,12088,11663,11570,11582,11489,11406,11437,11420,11422,11428
Lismore (C),LGA14850,43209,43086,43064,43030,43015,43162,43530,44032,44305,44283,44284,44267,44282,44392,44396,44316,44193
Lithgow (C),LGA14870,20341,20384,20618,20665,20749,20835,20865,20981,20550,20551,20732,20753,20790,21016,21141,21322,21449
Liverpool (C),LGA14900,144973,152146,159046,163310,165533,167618,169573,172050,173483,177432,181573,184671,188083,191921,196287,201010,206568
Liverpool Plains (A),LGA14920,7951,7955,8041,8015,7945,7897,7861,7877,7837,7823,7797,7768,7769,7794,7826,7852,7865
Maitland (C),LGA15050,54051,55379,56492,57728,58900,59855,61166,62596,66004,66973,67735,68499,69646,72093,74006,75910,77657
Mid-Coast (A),LGA15240,79860,80768,81866,82927,84221,85428,86396,87127,86600,87063,87558,87993,88530,89372,90034,90622,91237
Mid-Western Regional (A),LGA15270,21854,22037,22130,22211,22159,22087,22126,22260,22208,22446,22647,22813,23000,23355,23759,24090,24412
Moree Plains (A),LGA15300,15006,14919,14832,14746,14661,14576,14491,14407,14155,14070,14019,14032,14043,13978,13915,13841,13717
Mosman (A),LGA15350,27678,27621,27851,27973,28155,28366,28271,28414,28030,28501,28827,29227,29475,29483,29633,29839,30033
Murray River (A),LGA15520,10778,10891,11085,11213,11320,11423,11556,11820,11290,11347,11368,11309,11239,11391,11526,11659,11777
Murrumbidgee (A),LGA15560,4528,4565,4584,4569,4535,4512,4488,4509,4167,4086,4018,3948,3872,3884,3922,3907,3901
Muswellbrook (A),LGA15650,15250,15125,15221,15338,15280,15165,15137,15236,15939,15944,16014,16166,16322,16406,16423,16445,16453
Nambucca (A),LGA15700,18092,18034,18171,18216,18128,18496,18710,18886,18749,18949,19089,19229,19286,19306,19412,19478,19509
Narrabri (A),LGA15750,14392,14443,14537,14463,14373,14217,14153,14181,13534,13446,13502,13479,13475,13460,13539,13558,13562
Narrandera (A),LGA15800,6883,6824,6739,6706,6634,6584,6577,6588,6175,6133,6151,6132,6123,6093,6067,6035,6005
Narromine (A),LGA15850,6934,6983,7117,7094,7036,7009,7027,7059,6803,6853,6871,6907,6929,6794,6756,6715,6659
Newcastle (C),LGA15900,139366,140710,142101,143103,144273,145352,146536,147545,150484,152201,152934,153542,154896,156550,157615,158914,159981
North Sydney (A),LGA15950,57948,58262,58713,59226,59999,60694,61212,61802,62753,63621,64885,66049,67033,67701,68782,69937,71100
Northern Beaches (A),LGA15990,227157,228681,231230,232401,233185,234221,235958,238291,237721,239438,243574,247098,250402,254385,257456,260421,263503
Oberon (A),LGA16100,5082,5124,5287,5360,5368,5378,5443,5503,5238,5209,5228,5223,5207,5248,5323,5351,5373
Orange (C),LGA16150,36151,36509,36999,37257,37500,37517,37687,37982,37408,37918,38301,38794,39480,39818,40251,40751,41010
Parkes (A),LGA16200,15126,15030,15047,15086,15061,15011,15022,15099,14880,14949,14927,15017,15084,15057,15036,15013,14984
Parramatta (C),LGA16260,150959,154915,158973,163138,167413,171799,176300,180919,185175,189684,195136,199575,203205,208363,214818,221568,228248
Penrith (C),LGA16350,173327,175448,177413,178193,178107,177212,177363,177544,177924,179950,181820,182937,184681,187314,190511,193778,197678
Port Macquarie-Hastings (A),LGA16380,61914,63966,65378,67024,68423,69628,70499,71084,72084,73323,73789,74426,74949,76266,77003,78000,78925
Port Stephens (A),LGA16400,56389,57790,58965,60098,61336,62351,63285,63650,64287,65070,65845,66575,67058,68038,68776,69587,70316
Queanbeyan-Palerang Regional (A),LGA16490,41389,42770,44643,45795,47069,47581,48545,49665,51764,52784,53602,54310,54661,55498,56075,56776,57446
Randwick (C),LGA16550,124703,124672,125223,125625,125905,126188,126936,127948,128723,131249,133877,135923,137757,139949,142618,145112,147303
Richmond Valley (A),LGA16610,21172,21118,21183,21190,21056,20876,20864,21267,22388,22567,22601,22647,22697,22839,22951,23047,23094
Rockdale (C),LGA16650,90834,91650,92676,92901,94089,94888,95617,96409,97999,100329,102038,102928,102843,105876,108235,110616,113173
Ryde (C),LGA16700,97626,98177,99151,99306,99436,99506,99747,100351,102746,104502,105499,106947,108371,111304,113803,116244,119024
Shellharbour (C),LGA16900,57310,58649,59862,60639,61527,62241,62957,63642,63834,64714,65281,65712,66054,66890,67771,68777,69625
Shoalhaven (C),LGA16950,83867,85761,87650,89317,90615,91622,93097,94181,92858,93555,94620,95314,96043,97170,98063,99259,100497
Singleton (A),LGA17000,20916,20883,21230,21460,21713,21879,22237,22538,22969,23123,23240,23370,23456,23560,23573,23623,23620
Snowy Monaro Regional (A),LGA17040,19377,19342,19590,19654,19688,19610,19632,19721,20307,20329,20381,20339,20296,20422,20463,20504,20537
Snowy Valleys (A),LGA17080,15062,15059,15205,15166,15213,14989,14948,15020,14849,14750,14782,14770,14712,14753,14738,14719,14678
Strathfield (A),LGA17100,28682,28923,29433,29452,30199,31080,31804,32529,34317,35320,36504,36907,37141,37967,38899,40275,41239
Sutherland Shire (A),LGA17150,210256,212066,213828,214826,214933,214482,214164,214030,213812,216276,218601,219560,219751,221217,222456,223817,225063
Sydney (C),LGA17200,122337,126138,129696,134597,141237,146016,148986,151920,169738,173210,177183,180876,183494,189885,196949,205541,215421
Tamworth Regional (A),LGA17310,53362,53653,53973,54106,54231,54263,54420,55063,56588,56945,57401,57884,58351,58723,59263,59917,60487
Temora (A),LGA17350,5871,5890,5910,5929,5949,5969,5988,6008,5977,5959,5936,5951,5953,6009,6068,6117,6190
Tenterfield (A),LGA17400,6828,6792,6897,6893,6825,6799,6822,6909,6837,6898,6961,6983,7024,6922,6824,6755,6694
The Hills Shire (A),LGA17420,120627,122714,124836,126996,129193,131428,133702,136015,138034,141230,144388,146247,147779,149906,152307,155205,158719
Tweed (A),LGA17550,70764,73025,74577,76158,78195,79785,80625,81886,84126,85965,87356,88063,88463,89242,90143,91029,92109
Upper Hunter Shire (A),LGA17620,13560,13584,13538,13529,13458,13372,13452,13552,13573,13777,13930,14037,14206,14406,14545,14557,14476
Upper Lachlan Shire (A),LGA17640,7257,7167,7271,7279,7292,7321,7322,7405,7353,7378,7399,7392,7378,7570,7591,7720,7799
Uralla (A),LGA17650,6015,6019,6099,6076,6021,6031,6070,6126,6028,6084,6196,6228,6260,6247,6260,6248,6208
Wagga Wagga (C),LGA17750,56833,56674,56722,57078,57205,57467,58009,58802,60321,61024,61436,61489,61509,62163,62509,62924,63520
Walcha (A),LGA17850,3287,3285,3307,3295,3285,3256,3280,3307,3262,3215,3185,3166,3122,3147,3157,3159,3142
Walgett (A),LGA17900,7692,7609,7527,7445,7365,7286,7207,7129,6979,6883,6914,6908,6797,6715,6618,6547,6465
Warren (A),LGA17950,2834,2831,2828,2825,2822,2820,2817,2814,2786,2789,2807,2840,2862,2858,2840,2813,2790
Warrumbungle Shire (A),LGA18020,10860,10788,10849,10768,10660,10534,10500,10466,10068,10092,10092,10015,9927,9849,9738,9682,9613
Waverley (A),LGA18050,63964,63503,63241,62823,62246,61999,61884,62194,65511,66474,67274,67959,68567,69338,70108,70835,71465
Weddin (A),LGA18100,3853,3820,3857,3845,3812,3817,3845,3847,3765,3744,3720,3721,3734,3742,3730,3717,3703
Wentworth (A),LGA18200,7172,7173,7214,7211,7213,7225,7294,7405,7082,7080,6952,6885,6787,6847,6845,6874,6886
Western Plains Regional (A),LGA18230,46602,47111,47555,47619,47617,47670,47797,48118,48108,48667,49228,49422,49428,49419,49785,50370,50908
Willoughby (C),LGA18250,59112,60031,61795,62869,63126,63805,64555,65029,68147,68657,69759,70623,71637,72173,73151,74365,76135
Wingecarribee (A),LGA18350,40631,41900,42740,43476,43922,44242,44511,44912,44725,45113,45556,45865,46042,46497,47008,47544,48247
Wollondilly (A),LGA18400,36806,37589,38424,38944,39815,40598,41303,41977,41695,42334,42990,43644,44403,45434,46372,47411,48510
Wollongong (C),LGA18450,186575,187816,189776,191074,191467,191459,191633,192131,195664,197790,199246,200594,201215,203283,205100,207036,209123
Woollahra (A),LGA18500,52768,52860,53002,53108,53295,53012,52791,53033,53768,54122,54835,55487,56324,56733,57145,57619,57995
Yass Valley (A),LGA18710,11537,11767,12103,12341,12630,12818,12905,13075,14114,14467,14799,15205,15516,15826,16040,16234,16418
